name,college,height,weight,vert,broad,bench,shuttle,cone,10yd,20yd,40yd,season,position
Matt Mauck,LSU,73.625,228,,,,,,,,,2004,QB
Luke McCown,Louisiana Tech,75.875,208,37.5,125,,4.21,6.74,1.67,2.71,4.69,2004,QB
John Navarre,Michigan,78,246,26.5,100,,4.46,7.73,1.75,2.97,5.18,2004,QB
Cody Pickett,Washington,75.5,233,30.5,109,,4.3,7.19,1.71,2.78,4.81,2004,QB
Scott Rislov,San Jose State,73,224,30,119,,4.34,7.44,1.62,2.79,4.87,2004,QB
Philip Rivers,North Carolina State,77,229,,,,,,,,,2004,QB
Ell Roberson,Kansas State,71,194,,,,,,,,,2004,QB
Ben Roethlisberger,Miami (OH),76.875,241,,,,,,,,,2004,QB
Rod Rutherford,Pittsburgh,73.625,240,30.5,110,,4.41,7.66,1.72,2.8,4.77,2004,QB
Matt Schaub,Virginia,77.625,243,30.5,110,,4.62,7.65,1.77,2.94,5,2004,QB
Jeff Smoker,Michigan State,75.125,223,26.5,101,,4.36,7.65,,,,2004,QB
B.J. Symons,Texas Tech,72.5,210,,,,,,,,,2004,QB
Bradlee Van Pelt,Colorado State,74.25,231,33.5,115,,4.11,6.89,1.75,2.88,4.96,2004,QB
Jared Allen,Florida Atlantic,74.25,218,27.5,106,,4.39,7.29,1.73,2.85,4.95,2005,QB
Derek Anderson,Oregon State,78.125,242,29,103,,4.62,7.67,1.75,2.89,5.04,2005,QB
Brock Berlin,Miami (FL),73.5,221,29,109,,4.54,7.49,1.65,2.79,4.83,2005,QB
Jason Campbell,Auburn,76.75,230,,,,,,,,,2005,QB
Timmy Chang,Hawaii,73,211,29,111,,4.2,7.24,1.75,2.95,5.14,2005,QB
Ben Dougherty,Florida AM,74.125,222,33,108,,4.34,7.41,1.59,2.74,4.84,2005,QB
Ryan Fitzpatrick,Harvard,74.375,232,30.5,105,,4.07,7.09,1.71,2.83,4.87,2005,QB
Charlie Frye,Akron,75.875,225,33,113,,4.08,6.94,1.69,2.82,4.88,2005,QB
David Greene,Georgia,75.5,226,31.5,115,,4.13,7,1.66,2.74,4.78,2005,QB
Gino Guidugli,Cincinnati,75.75,229,29,103,,4.52,7.41,1.74,2.93,5.07,2005,QB
Josh Haldi,Northern Illinois,74,215,33,113,,4.07,6.89,1.66,2.74,4.69,2005,QB
Stefan LeFors,Louisville,72.125,208,31,111,,4.13,7.04,1.7,2.74,4.56,2005,QB
Dustin Long,Sam Houston State,74.5,208,30.5,108,,4.08,6.77,1.64,2.71,4.67,2005,QB
Adrian McPherson,Florida State,75.5,218,34.5,128,22,4.12,6.94,1.64,2.77,4.71,2005,QB
Craig Ochs,Montana,73.75,218,28.5,104,,4.13,7.03,1.68,2.83,4.9,2005,QB
Dan Orlovsky,Connecticut,77,225,29.5,107,,4.39,7.33,1.77,2.97,5.02,2005,QB
Kyle Orton,Purdue,76,233,26.5,,,4.52,7.38,1.74,2.94,5.07,2005,QB
Bryan Randall,Virginia Tech,72.25,225,33,113,,4.08,6.97,1.71,2.79,4.76,2005,QB
Chris Rix,Florida State,74,214,33.5,116,,4.53,7.53,1.7,2.83,4.73,2005,QB
Aaron Rodgers,California,74,223,34.5,110,,,7.39,1.65,2.75,4.71,2005,QB
Alex Smith,Utah,76.125,217,32,113,,3.97,6.82,1.66,2.77,4.71,2005,QB
Andrew Walter,Arizona State,78.125,233,,,,,,,,,2005,QB
Jason White,Oklahoma,74.5,223,31,108,,4.19,7.28,1.75,2.89,4.95,2005,QB
Brett Basanez,Northwestern,73.25,220,34,114,,4.22,6.75,1.63,2.73,4.76,2006,QB
Kellen Clemens,Oregon,73.625,224,,,,,,,,,2006,QB
Brodie Croyle,Alabama,74.5,205,30.5,104,,4.25,7.34,1.69,2.83,4.9,2006,QB
Jay Cutler,Vanderbilt,75.25,226,,,23,4.26,7.1,1.62,2.78,4.82,2006,QB
Bruce Eugene,Grambling State,72.25,260,27.5,94,,4.76,7.97,1.81,3,5.1,2006,QB
Bruce Gradkowski,Toledo,73.375,217,34,107,,4.16,7.12,1.63,2.72,4.61,2006,QB
Darrell Hackney,Alabama-Birmingham,71.625,239,33,110,,4.69,7.62,1.68,2.82,4.83,2006,QB
Tarvaris Jackson,Alabama State,74,226,31.5,107,22,4.38,7.4,1.65,2.74,4.68,2006,QB
Omar Jacobs,Bowling Green,75.875,232,32.5,108,,4.29,7.47,1.69,2.83,4.84,2006,QB
Matt Leinart,Southern California,76.875,223,,,,,,,,,2006,QB
Travis Lulay,Montana State,74.375,216,35,111,,4.07,6.93,1.62,2.74,4.75,2006,QB
Ingle Martin,Furman,74.25,220,36,111,,4.17,7.13,1.61,2.73,4.65,2006,QB
Reggie McNeal,Texas AM,74,198,32,121,,4.25,6.96,1.6,2.6,4.35,2006,QB
Erik Meyer,Eastern Washington,73,210,32.5,112,,4.12,6.83,1.61,2.72,4.7,2006,QB
Barrick Nealy,Texas State,76,226,32.5,114,,4.26,6.94,1.61,2.7,4.64,2006,QB
Drew Olson,UCLA,73.625,222,23,97,,4.42,,1.77,2.99,5.15,2006,QB
Paul Pinegar,Fresno State,76.875,232,29,110,,4.49,7.36,1.75,2.94,5.15,2006,QB
Quinton Porter,Boston College,76.625,233,33.5,116,,4.1,6.76,1.64,2.73,4.7,2006,QB
D.J. Shockley,Georgia,73.125,214,37.5,121,,4.17,7.07,1.58,2.67,4.57,2006,QB
Kent Smith,Central Michigan,76.75,216,35,122,,4.47,7.41,1.64,2.72,4.59,2006,QB
Marcus Vick,Virginia Tech,72,200,36,117,,4.08,6.94,1.61,2.66,4.56,2006,QB
Charlie Whitehurst,Clemson,76.75,223,33,112,,4.11,7,1.65,2.79,4.77,2006,QB
Vince Young,Texas,76.625,229,,,,,,,,,2006,QB
John Beck,Brigham Young,74.125,215,29.5,111,,4.17,6.81,1.63,2.71,4.77,2007,QB
Trent Edwards,Stanford,76.125,231,,,19,4.46,7.14,1.74,2.83,4.81,2007,QB
Luke Getsy,Akron,74.5,222,32.5,106,,4.46,6.95,1.74,2.87,4.95,2007,QB
Matt Gutierrez,Idaho State,76.25,232,29.5,108,,4.28,6.99,1.74,2.89,5.03,2007,QB
Kevin Kolb,Houston,75.125,218,32.5,112,,4.44,6.94,1.73,2.83,4.85,2007,QB
Toby Korrodi,Central Missouri,75.5,234,25,91,,4.64,7.77,1.88,,,2007,QB
Chris Leak,Florida,71.875,209,32.5,113,,4.41,7.03,1.66,2.71,4.79,2007,QB
Tyler Palko,Pittsburgh,73.375,215,31.5,112,,4.36,7.05,1.75,2.86,4.85,2007,QB
Jordan Palmer,Texas-El Paso,77.625,231,30.5,104,,4.58,7.32,1.75,2.91,4.99,2007,QB
James Pinkney,East Carolina,74.5,208,34,112,,4.49,7.35,1.69,2.81,4.86,2007,QB
Brady Quinn,Notre Dame,75.75,232,,,24,,,,,,2007,QB
Jeff Rowe,Nevada,77.25,226,29.5,114,,4.42,7.16,1.73,2.85,4.95,2007,QB
JaMarcus Russell,LSU,77.5,265,,,,,,,,,2007,QB
Troy Smith,Ohio State,72,225,,,,,,,,,2007,QB
Isaiah Stanback,Washington,74.375,216,,,22,,,,,,2007,QB
Drew Stanton,Michigan State,75.25,226,30.5,108,,4.41,6.77,1.67,2.75,4.79,2007,QB
John Stocco,Wisconsin,73.625,207,27,104,,4.6,7.29,1.82,2.99,5.14,2007,QB
Josh Swogger,Montana,76.5,237,28.5,107,,4.76,7.25,1.78,2.98,5.18,2007,QB
Zac Taylor,Nebraska,74.375,216,30.5,110,,4.6,7.39,1.71,2.85,5.01,2007,QB
Jared Zabransky,Boise State,74.125,219,35.5,111,,4.08,6.78,1.62,2.65,4.57,2007,QB
Erik Ainge,Tennessee,77.5,225,21.5,108,,4.6,7.51,1.71,2.86,4.98,2008,QB
John David Booty,Southern California,74.375,218,22.5,99,,4.58,,1.67,2.76,4.82,2008,QB
Colt Brennan,Hawaii,74.375,207,,,,,,,,,2008,QB
Alex Brink,Washington State,74.25,211,28,112,,4.19,7.22,1.66,2.77,4.97,2008,QB
Brian Brohm,Louisville,74.875,230,30,115,,4.55,7.13,1.67,2.76,4.83,2008,QB
Dennis Dixon,Oregon,75.25,195,,,,,,,,,2008,QB
Joe Flacco,Delaware,78.375,236,28.5,110,,4.27,6.82,1.71,2.79,4.86,2008,QB
Matt Flynn,LSU,74.25,231,28,109,,4.34,7.21,1.62,2.72,4.79,2008,QB
Chad Henne,Michigan,74.875,230,25.5,106,,4.4,7.17,1.7,2.81,4.92,2008,QB
Josh Johnson,San Diego,74.75,213,33.5,110,,4.42,7.56,1.58,2.63,4.55,2008,QB
Sam Keller,Nebraska,75.625,241,24,107,,4.35,7.07,1.67,2.85,5,2008,QB
Anthony Morelli,Penn State,75.625,231,26.5,108,16,4.6,7.43,1.73,2.92,5.07,2008,QB
Bernard Morris,Marshall,75,223,24.5,109,18,,,1.68,2.81,4.68,2008,QB
Kevin OConnell,San Diego State,77,225,31,113,,4.38,7.01,1.6,2.71,4.61,2008,QB
T.C. Ostrander,Stanford,74.125,227,,,,,,,,,2008,QB
Matt Ryan,Boston College,76.75,228,,,,4.51,7.4,1.67,2.86,4.95,2008,QB
Paul Smith,Tulsa,73.25,208,26.5,111,,4.29,7.02,1.64,2.87,4.97,2008,QB
Adam Tafralis,San Jose State,73.125,221,32,108,,4.33,7.14,1.64,2.8,4.78,2008,QB
Andre Woodson,Michigan State,76,229,,,,,,,,,2008,QB
Kyle Wright,Miami (FL),75.375,218,25.5,105,,4.32,7.34,1.63,2.81,4.85,2008,QB
Jason Boltus,Hartwick,74.75,225,31.5,111,26,4.47,7,1.68,2.79,4.83,2009,QB
Rhett Bomar,Sam Houston State,74.25,225,,106,25,4.06,6.91,1.74,2.83,4.82,2009,QB
Tom Brandstater,Fresno State,77,220,28.5,106,,4.37,6.93,1.74,2.89,4.95,2009,QB
Nathan Brown,Central Arkansas,72.625,219,30.5,106,,4.44,7.43,1.81,2.95,5.04,2009,QB
Hunter Cantwell,Louisville,76.375,235,26,99,,4.59,7.4,1.88,3.07,5.26,2009,QB
Rudy Carpenter,Arizona State,73.625,218,29,100,11,4.47,7.25,,,,2009,QB
Chase Daniel,Missouri,72,218,33,,,4.31,7.28,1.76,2.87,4.92,2009,QB
Nate Davis,Ball State,73.375,226,26.5,99,,,,1.83,2.94,5.01,2009,QB
Josh Freeman,Kansas State,77.75,248,33.5,119,,4.43,7.11,1.79,2.91,4.97,2009,QB
Cullen Harper,Clemson,75,225,30,105,19,4.49,7.43,1.77,2.92,5.05,2009,QB
Graham Harrell,Texas Tech,74.125,223,29.5,98,,4.56,7.45,1.83,3.01,5.14,2009,QB
Chase Holbrook,New Mexico State,76.125,242,27,108,,4.65,7.93,1.8,2.91,5.19,2009,QB
Brian Hoyer,Michigan State,74,215,32,109,,4.42,7.1,1.73,2.9,5.05,2009,QB
Stephen McGee,Texas AM,74.875,225,33,112,,4.49,7.34,1.68,2.72,4.66,2009,QB
Curtis Painter,Purdue,74.875,225,29,102,,4.48,7,1.75,2.88,,2009,QB
Mike Reilly,Central Washington,75,214,30.5,109,,4.11,6.76,1.71,2.8,4.92,2009,QB
Mark Sanchez,Southern California,74.125,227,32.5,116,,4.21,7.06,1.77,2.91,5,2009,QB
Matthew Stafford,Georgia,74.25,225,30.5,107,,4.47,7.06,1.72,2.83,,2009,QB
Pat White,West Virginia,72.25,197,35,117,,4.42,7.06,1.67,2.7,,2009,QB
Drew Willy,Buffalo,75.125,215,30.5,109,,4.45,7.18,1.75,2.87,,2009,QB
John Parker Wilson,Alabama,73.5,219,29.5,105,,4.59,7.53,1.69,2.8,4.87,2009,QB
Sam Bradford,Oklahoma,76.25,236,,,,,,,,,2010,QB
Jarrett Brown,West Virginia,74.875,224,34.5,114,,4.39,7.24,1.57,2.64,4.54,2010,QB
Levi Brown,Troy,75.5,229,31.5,106,20,4.43,7.07,1.73,2.88,4.99,2010,QB
Sean Canfield,Oregon State,75.75,223,29.5,100,,4.39,7.26,1.75,2.9,4.99,2010,QB
Daryll Clark,Penn State,73.875,235,,,21,,,,,,2010,QB
Jimmy Clausen,Notre Dame,74.625,222,,,,,,,,,2010,QB
Max Hall,Brigham Young,72.625,209,32,102,,4.35,7.07,1.68,2.81,4.87,2010,QB
Tim Hiller,Western Michigan,76,229,32.5,118,18,4.54,7.1,1.69,2.85,4.97,2010,QB
Mike Kafka,Northwestern,75.125,225,32,110,,4.37,6.96,1.73,2.9,5.04,2010,QB
Dan LeFevour,Central Michigan,75.25,230,29.5,110,,4.22,6.93,1.59,2.71,4.66,2010,QB
Thaddeus Lewis,Duke,72.5,215,28,107,,,,1.66,2.8,4.84,2010,QB
Colt McCoy,Texas,73.125,216,,114,,,,1.66,2.76,4.79,2010,QB
Tony Pike,Cincinnati,77.75,223,28.5,108,,4.53,7.06,1.69,2.86,4.9,2010,QB
Zac Robinson,Oklahoma State,74.5,214,35,110,,4.4,7.24,1.63,2.72,4.71,2010,QB
John Skelton,Fordham,77.375,243,33.5,108,,4.33,7.17,1.61,2.78,4.85,2010,QB
Riley Skinner,Wake Forest,72,214,30,101,,4.29,7.04,1.73,2.91,5.07,2010,QB
Jevan Snead,Mississippi,75,219,33,106,,4.33,7.08,1.7,2.91,5.04,2010,QB
Tim Tebow,Florida,74.75,236,38.5,115,,4.17,6.66,1.61,2.72,4.72,2010,QB
Ryan Colburn,Fresno State,74.75,233,,,,4.28,6.84,1.79,2.98,5.21,2011,QB
Andy Dalton,Texas Christian,74,215,29.5,106,,4.27,6.93,1.77,2.89,4.93,2011,QB
Pat Devlin,Delaware,75.375,225,33,116,,4.32,7.08,1.67,2.8,4.87,2011,QB
Nathan Enderle,Idaho,76.125,240,25.5,102,,4.46,7.13,1.78,2.99,5.22,2011,QB
Blaine Gabbert,Missouri,76.375,234,33.5,120,,4.26,6.84,1.62,2.71,4.66,2011,QB
Jerrod Johnson,Texas AM,77.125,251,29,119,,4.31,7.28,1.71,2.81,4.82,2011,QB
Colin Kaepernick,Nevada,76.625,233,32.5,115,,4.18,6.85,1.63,2.71,4.63,2011,QB
Jake Locker,Washington,74.5,231,35,120,,4.12,6.77,1.66,2.69,4.58,2011,QB
Ryan Mallett,Arkansas,78.75,253,24,103,,,,,,,2011,QB
Greg McElroy,Alabama,73.875,220,33,107,,4.45,7.11,1.6,2.67,4.6,2011,QB
Cam Newton,Auburn,77,248,35,126,,4.18,6.92,1.6,2.67,4.6,2011,QB
Christian Ponder,Florida State,74,229,34,116,,4.09,6.85,1.64,2.76,4.72,2011,QB
Josh Portis,California (PA),74.875,211,40,126,,4.12,6.84,1.71,2.79,4.69,2011,QB
Ricky Stanzi,Iowa,76.375,223,32.5,110,,4.43,6.95,1.71,2.86,4.96,2011,QB
Tyrod Taylor,Virginia Tech,72.75,217,37.5,126,,4.09,6.78,1.56,2.61,4.52,2011,QB
Scott Tolzien,Wisconsin,74,212,29.5,116,,4.12,6.84,1.79,2.96,5.06,2011,QB
Jeff Van Camp,Florida Atlantic,77.25,218,31,114,,4.16,6.87,1.72,2.87,4.88,2011,QB
T.J. Yates,North Carolina,75.375,219,29.5,104,,4.12,6.96,1.76,2.98,5.07,2011,QB
B.J. Coleman,Chattanooga,75,233,,109,,4.38,7.07,,,,2012,QB
Aaron Corp,Richmond,75.5,215,31.5,106,,4.3,7.03,1.74,2.8,4.77,2012,QB
Kirk Cousins,Michigan State,74.625,214,28.5,109,,4.5,7.05,1.71,2.87,4.93,2012,QB
Austin Davis,Southern Miss,73.625,219,31,109,,4.11,6.73,1.63,2.77,4.76,2012,QB
Nick Foles,Arizona,77,243,30.5,112,,,,1.77,2.96,5.14,2012,QB
Robert Griffin,Baylor,74.375,223,39,120,,,,1.53,2.58,4.41,2012,QB
Chandler Harnish,Northern Illinois,73.625,219,32.5,112,,4.15,6.78,1.64,2.75,4.76,2012,QB
Jacory Harris,Miami (FL),75,203,37,113,,4.4,7.1,1.63,2.72,4.72,2012,QB
Jordan Jefferson,LSU,76.125,223,36.5,116,14,4.06,6.81,1.61,2.66,4.65,2012,QB
Case Keenum,Houston,72.625,208,32.5,103,,,,1.67,2.79,4.82,2012,QB
Ryan Lindley,San Diego State,75.75,229,29.5,108,,4.45,7.52,1.69,2.87,4.9,2012,QB
Andrew Luck,Stanford,76,234,36,124,,4.28,6.8,1.65,2.75,4.67,2012,QB
Kellen Moore,Boise State,72,197,27,99,,4.56,7.41,1.77,2.78,4.94,2012,QB
Brock Osweiler,Arizona State,78.875,242,,,,,,,,,2012,QB
Ryan Tannehill,Texas AM,75.875,221,,,,,,,,,2012,QB
Darron Thomas,Oregon,74.625,220,36,121,14,4.28,7.17,1.66,2.79,4.8,2012,QB
Brandon Weeden,Oklahoma State,75.5,221,,,,,,,,,2012,QB
Russell Wilson,Wisconsin,70.625,204,34,118,,4.09,6.97,1.59,2.66,4.55,2012,QB
Patrick Witt,Yale,75.5,225,31.5,101,,4.37,7.14,,,,2012,QB
Matt Barkley,Southern California,74.5,227,,,,,,,,,2013,QB
Tyler Bray,Tennessee,78.125,232,,100,,4.51,7.2,1.72,2.91,5.05,2013,QB
Colby Cameron,Louisiana Tech,74.125,212,30.5,112,,4.28,6.98,1.66,2.78,4.78,2013,QB
Zac Dysert,Miami (OH),74.875,231,,,,,,,,,2013,QB
Mike Glennon,North Carolina State,79.125,225,26.5,102,,4.52,7.49,1.74,2.9,4.94,2013,QB
MarQueis Gray,Minnesota,75.25,240,30,111,15,4.3,7.25,1.64,2.74,4.73,2013,QB
Landry Jones,Oklahoma,76.125,225,31,115,,4.3,7.12,1.77,2.95,5.11,2013,QB
Collin Klein,Kansas State,76.875,226,29,111,,4.4,7.17,1.67,2.81,4.78,2013,QB
E.J. Manuel,Florida State,76.625,237,34,118,,4.21,7.08,1.67,2.75,4.65,2013,QB
Ryan Nassib,Syracuse,74.125,227,28.5,105,,4.53,7.34,1.83,2.96,5.06,2013,QB
Sean Renfree,Duke,75.125,219,,,,,,,,,2013,QB
Matt Scott,Arizona,74.125,213,31,118,,3.99,6.69,1.6,2.69,4.69,2013,QB
Geno Smith,West Virginia,74.375,218,33.5,124,,,,1.62,2.69,4.59,2013,QB
Brad Sorensen,Southern Utah,76.5,229,29,112,,4.55,7.17,1.71,2.89,4.97,2013,QB
James Vandenberg,Iowa,74.75,226,32,116,,4.52,6.95,1.77,2.89,4.92,2013,QB
Tyler Wilson,Arkansas,74.125,215,28.5,112,,4.39,7.22,1.71,2.87,4.95,2013,QB
Blake Bortles,Central Florida,77,232,32.5,115,,4.21,7.08,1.75,2.86,4.93,2014,QB
Tajh Boyd,Clemson,72.625,222,30.5,106,,4.23,7.33,1.69,2.82,4.84,2014,QB
Teddy Bridgewater,Louisville,74.125,214,30,113,,4.2,7.17,,,,2014,QB
Derek Carr,Fresno State,74.375,214,34.5,110,,4.2,,1.64,2.73,4.69,2014,QB
David Fales,San Jose State,73.625,212,28,103,,4.5,7.55,1.72,2.9,4.99,2014,QB
Jimmy Garoppolo,Eastern Illinois,74.25,226,30.5,110,,4.26,7.04,1.78,2.91,4.97,2014,QB
Jordan Lynch,Northern Illinois,72.125,217,29.5,109,,4.2,6.55,1.65,2.76,4.76,2014,QB
Johnny Manziel,Texas AM,71.75,207,31.5,113,,4.03,6.75,1.63,2.72,4.68,2014,QB
Jeff Mathews,Cornell,75.75,223,25.5,105,,4.36,7.14,1.87,3.09,5.26,2014,QB
A.J. McCarron,Alabama,75.25,220,28,99,,4.34,7.18,1.77,2.93,4.94,2014,QB
Zach Mettenberger,LSU,76.875,224,,,,,,,,,2014,QB
Stephen Morris,Miami (FL),73.875,213,30,111,,4.49,7.36,1.62,2.7,4.63,2014,QB
Aaron Murray,Georgia,72.5,207,,,,,,,,,2014,QB
Bryn Renner,North Carolina,75.25,228,25.5,108,,4.3,7.22,1.69,2.8,4.87,2014,QB
Tom Savage,Pittsburgh,75.875,228,27,105,,4.36,7.33,1.77,2.92,4.97,2014,QB
Connor Shaw,South Carolina,72.375,206,34,116,,4.33,7.07,1.67,2.72,4.66,2014,QB
Logan Thomas,Virginia Tech,78.125,248,35.5,118,,4.18,7.05,1.63,2.7,4.61,2014,QB
Dustin Vaughan,West Texas AM,76.875,235,29,108,,4.43,7.25,1.76,2.91,4.95,2014,QB
Keith Wenning,Ball State,74.625,218,28,100,,4.25,7.07,1.72,2.88,5,2014,QB
Bryan Bennett,Southeastern Louisiana,74.25,211,37,125,,4.2,7.13,1.68,2.79,4.81,2015,QB
Anthony Boone,Duke,72.25,231,26.5,100,,4.62,7.47,1.74,2.91,5.03,2015,QB
Brandon Bridge,South Alabama,76.375,229,33,110,,4.37,7.18,1.68,2.79,4.72,2015,QB
Shane Carden,East Carolina,73.875,218,29.5,104,,4.45,7.17,1.74,2.88,4.94,2015,QB
Cody Fajardo,Nevada,73.5,223,32.5,118,,4.1,6.95,1.62,2.7,4.63,2015,QB
Garrett Grayson,Colorado State,74.5,213,,,,,,,,,2015,QB
Connor Halliday,Washington State,75,204,,,,,,,,,2015,QB
Brett Hundley,UCLA,75.25,226,36,120,,3.98,6.93,1.62,2.72,4.63,2015,QB
Jerry Lovelocke,Prairie View AM,76.5,248,31.5,113,,4.51,7.3,1.59,2.9,4.99,2015,QB
Sean Mannion,Oregon State,77.625,229,31,105,,4.39,7.29,1.87,3.03,5.14,2015,QB
Marcus Mariota,Oregon,75.75,222,36,121,,4.11,6.87,1.57,2.62,4.52,2015,QB
Bryce Petty,Baylor,74.875,230,34,121,,4.13,6.91,1.67,2.81,4.87,2015,QB
Blake Sims,Alabama,71.5,218,30.5,115,,,,1.67,2.7,4.57,2015,QB
Jameis Winston,Florida State,75.75,231,28.5,103,,4.36,7.16,1.74,2.89,4.97,2015,QB
Vernon Adams,Oregon,70.875,200,29.5,114,,4.2,6.82,1.67,2.8,4.83,2016,QB
Brandon Allen,Arkansas,73.375,217,28,110,,4.33,7.06,1.71,2.82,4.84,2016,QB
Trevone Boykin,Texas Christian,72,212,32,110,,4.4,,1.66,2.76,4.77,2016,QB
Jacoby Brissett,North Carolina State,75.75,231,31,113,,4.53,7.17,1.79,2.93,4.94,2016,QB
Connor Cook,Michigan State,76,217,33,113,,4.28,7.21,1.68,2.79,4.79,2016,QB
Brandon Doughty,Western Kentucky,74.75,213,27,103,,4.52,7.49,1.81,3.01,5.22,2016,QB
Jeff Driskel,Louisiana Tech,76,234,32,122,,4.25,7.19,1.65,2.71,4.56,2016,QB
Jared Goff,California,76,215,27,110,,4.47,7.17,1.65,2.71,4.82,2016,QB
Christian Hackenberg,Penn State,76.375,223,31,114,,4.33,7.04,1.64,2.82,4.78,2016,QB
Kevin Hogan,Stanford,75.25,218,32.5,113,,4.31,6.9,1.64,2.76,4.78,2016,QB
Cardale Jones,Ohio State,77,253,36,,,,,1.67,2.78,4.81,2016,QB
Cody Kessler,Southern California,73.25,220,29.5,104,,4,7.32,1.68,2.9,4.89,2016,QB
Paxton Lynch,Memphis,78.625,244,36,118,,4.26,7.14,1.69,2.81,4.86,2016,QB
Dak Prescott,Mississippi State,74.25,226,32.5,116,,4.32,7.11,1.66,2.78,4.79,2016,QB
Joel Stave,Wisconsin,77.25,236,33.5,115,,4.33,7.29,1.63,2.77,4.8,2016,QB
Nate Sudfeld,Indiana,78.125,234,29,105,,,,,,,2016,QB
Carson Wentz,North Dakota State,77.25,237,30.5,118,,4.15,6.86,1.65,2.75,4.77,2016,QB
Josh Woodrum,Liberty,74.875,231,31,117,,4.31,6.74,1.67,2.78,4.8,2016,QB
C.J. Beathard,Iowa,74.125,219,31,112,,,,,,,2017,QB
Joshua Dobbs,Tennessee,75.25,216,33,122,,4.31,6.75,1.62,2.69,4.64,2017,QB
Jerod Evans,Virginia Tech,74.625,232,26.5,111,,4.41,,1.69,2.81,4.8,2017,QB
Brad Kaaya,Miami (FL),75.75,214,,,,,,,,,2017,QB
DeShone Kizer,Notre Dame,76.125,233,30.5,105,,4.53,7.4,1.72,2.84,4.83,2017,QB
Trevor Knight,Texas AM,72.75,219,35.5,124,,4.14,7.04,1.6,2.66,4.54,2017,QB
Mitch Leidner,Minnesota,75.375,226,34.5,123,,4.25,6.96,1.68,2.8,4.93,2017,QB
Sefo Liufau,Colorado,75.375,232,27,104,,4.45,7.32,1.75,2.91,5.08,2017,QB
Patrick Mahomes,Texas Tech,74.125,225,30,113,,4.08,6.88,1.65,2.8,4.8,2017,QB
Nathan Peterman,Pittsburgh,74.625,226,31,110,,4.31,7.14,1.67,2.8,4.82,2017,QB
Cooper Rush,Central Michigan,74.625,228,27,104,,4.47,7.23,1.72,2.89,4.93,2017,QB
Seth Russell,Baylor,74.875,213,,,,,,,,,2017,QB
Mitchell Trubisky,North Carolina,74.125,222,27.5,115,,4.25,6.87,1.62,2.71,4.67,2017,QB
Deshaun Watson,Clemson,74.125,221,32.5,117,,4.31,6.95,1.6,2.72,4.68,2017,QB
Davis Webb,California,76.625,229,33,116,,4.21,6.92,1.66,2.8,4.79,2017,QB
Austin Allen,Arkansas,72.375,210,29.5,112,,4.48,7.18,1.66,2.8,4.81,2018,QB
Josh Allen,Wyoming,76.875,237,33.5,119,,4.4,6.9,1.59,2.74,4.75,2018,QB
J.T. Barrett,Ohio State,73.25,224,30,108,,4.44,7.38,1.65,2.76,4.7,2018,QB
Kurt Benkert,Virginia,74.625,218,31,112,16,4.33,7.15,1.71,2.86,4.95,2018,QB
Sam Darnold,Southern California,75.375,221,26.5,105,,4.4,6.96,1.67,2.81,4.85,2018,QB
Danny Etling,LSU,74.5,222,30.5,114,,4.37,7.09,1.63,2.75,4.76,2018,QB
